ID r2 NSE PBIAS KGE NRMSE
123 0.95 0.93 -5 0.9 0.07
125 0.71 0.64 -19.7 0.73 0.19
126 0.74 0.7 -7.1 0.83 0.12
127 0.91 0.89 0.1 0.8 0.09
138 0.24 -15.18 -99.5 -1.03 0.67
142 0.42 0.12 9.1 0.59 0.31
143 0.16 -0.81 -23.9 0.32 0.41
145 0.44 0.31 -10.7 0.64 0.23
146 0.17 -0.38 53.6 0.2 0.38
147 0.64 0.51 -2 0.74 0.18
148 0.35 0.23 -8 0.57 0.32
149 0.32 0.03 5.4 0.55 0.3
150 0.5 0.4 -7.7 0.7 0.26
151 0.63 0.46 -8 0.71 0.23
152 0.69 0.68 7.2 0.79 0.17
153 0.27 -0.27 -10.6 0.45 0.34
154 0.14 -0.29 -20.1 0.34 0.36
156 0.69 0.19 34.4 0.48 0.25
160 0.26 -0.11 40.7 0.35 0.37
