Specification	of	Landscape	Units	(LU)								
LU-ID	[-],No._of_TC[-],	TC1[-],	TC2[-],TC3[-],kfsu[mm/d],length[m],meandep[mm],maxdep[mm],riverbed[mm],gwflag[0/1],gw_dist[mm],	frgw_delay[day]								
534	2	9233	9230	3.5	561.8	-1	-1	100	0	0	1	
537	2	9689	9684	3.5	379.4	-1	-1	100	0	0	1	
1725	1	8899	3.5	875.8	-1	-1	100	0	0	1		
1734	1	9259	3.5	1139.7	-1	-1	100	0	0	1		
1737	1	9701	3.5	435.9	-1	-1	100	0	0	1		
1738	1	9801	3.5	530.1	-1	-1	100	0	0	1		
1739	1	9835	3.5	463	-1	-1	100	0	0	1		
3223	1	8683	3.5	1489	-1	-1	100	0	0	1		
3227	2	8981	8975	3.5	355.3	-1	-1	100	0	0	1	
3242	1	10149	3.5	593.7	-1	-1	100	0	0	1		
3243	2	10257	10232	3.5	608.1	-1	-1	100	0	0	1	
3247	2	10580	10557	3.5	988.6	-1	-1	100	0	0	1	
3257	2	11416	11394	3.5	951.6	-1	-1	100	0	0	1	
3259	1	11570	3.5	749.9	-1	-1	100	0	0	1		
3260	2	11664	11654	3.5	822.9	-1	-1	100	0	0	1	
3523	1	8702	3.5	1433.1	-1	-1	100	0	0	1		
3534	3	9317	9306	9279	3.5	572.9	-1	-1	100	0	0	1
3538	1	9822	3.5	1117	-1	-1	100	0	0	1		
3843	3	10315	10303	10287	3.5	715.6	-1	-1	100	0	0	1
3844	3	10430	10423	10409	3.5	941.8	-1	-1	100	0	0	1
3845	3	10521	10513	10504	3.5	411.1	-1	-1	100	0	0	1
3846	2	10542	10540	3.5	280.4	-1	-1	100	0	0	1	
3849	3	10689	10674	10659	3.5	474.6	-1	-1	100	0	0	1
3850	3	10805	10782	10750	3.5	401.5	-1	-1	100	0	0	1
3851	3	10891	10886	10882	3.5	218	-1	-1	100	0	0	1
3855	3	11053	11025	10988	3.5	597.7	-1	-1	100	0	0	1
3856	2	11226	11220	3.5	1009.2	-1	-1	100	0	0	1	
3858	3	11492	11478	11468	3.5	572.8	-1	-1	100	0	0	1
3859	3	11594	11589	11584	3.5	421	-1	-1	100	0	0	1
3860	2	11682	11674	3.5	545.7	-1	-1	100	0	0	1	
5655	3	11128	11113	11097	3.5	257.2	-1	-1	100	0	0	1
5923	2	8744	8729	3.5	752	-1	-1	100	0	0	1	
5925	2	8920	8911	3.5	581.5	-1	-1	100	0	0	1	
5926	3	8964	8958	8946	3.5	1038.9	-1	-1	100	0	0	1
5934	1	9341	3.5	772.9	-1	-1	100	0	0	1		
5937	3	9772	9757	9730	3.5	518	-1	-1	100	0	0	1
5939	2	9859	9850	3.5	1154.4	-1	-1	100	0	0	1	
5944	2	10454	10443	3.5	785.6	-1	-1	100	0	0	1	
5946	1	10545	3.5	479.3	-1	-1	100	0	0	1		
5956	2	11298	11268	3.5	543.9	-1	-1	100	0	0	1	
6223	3	8810	8797	8772	3.5	806.4	-1	-1	100	0	0	1
6227	3	9028	9015	8998	3.5	395.8	-1	-1	100	0	0	1
6243	2	10335	10327	3.5	435	-1	-1	100	0	0	1	
6244	2	10486	10474	3.5	457.1	-1	-1	100	0	0	1	
6249	2	10710	10702	3.5	844.6	-1	-1	100	0	0	1	
6256	2	11360	11333	3.5	538.3	-1	-1	100	0	0	1	
6545	2	10528	10524	3.5	242.5	-1	-1	100	0	0	1	
6857	2	11461	11452	3.5	526.8	-1	-1	100	0	0	1	
6858	1	11546	3.5	703.2	-1	-1	100	0	0	1		
7123	3	8835	8833	8826	3.5	450	-1	-1	100	0	0	1
7127	3	9050	9046	9037	3.5	304.7	-1	-1	100	0	0	1
7142	2	10212	10204	3.5	512.5	-1	-1	100	0	0	1	
7143	3	10382	10377	10360	3.5	314.7	-1	-1	100	0	0	1
7148	3	10640	10636	10628	3.5	461.8	-1	-1	100	0	0	1
7149	3	10731	10726	10717	3.5	561.9	-1	-1	100	0	0	1
7150	3	10878	10873	10868	3.5	518.1	-1	-1	100	0	0	1
7151	3	10917	10912	10906	3.5	483.3	-1	-1	100	0	0	1
7152	1	10925	3.5       1748	-1	-1	100	0	0	1		
7153	2	10933	10929	3.5	652.2	-1	-1	100	0	0	1	
7157	2	11466	11463	3.5	690.4	-1	-1	100	0	0	1	
7158	3	11563	11559	11551	3.5	324.3	-1	-1	100	0	0	1
7159	2	11644	11637	3.5	1027.7	-1	-1	100	0	0	1	
7160	2	11698	11691	3.5	986.3	-1	-1	100	0	0	1	
13242	2	10193	10173	3.5	694.2	-1	-1	100	0	0	1	
13247	1	10593	3.5	175	-1	-1	100	0	0	1		
13257	2	11446	11434	3.5	833.3	-1	-1	100	0	0	1	
13259	2	11582	11576	3.5	752.1	-1	-1	100	0	0	1	
13850	2	10841	10824	3.5	363.7	-1	-1	100	0	0	1	
13851	2	10900	10896	3.5	295.7	-1	-1	100	0	0	1	
13854	2	10952	10946	3.5	479.6	-1	-1	100	0	0	1	
13855	2	11083	11074	3.5	180.8	-1	-1	100	0	0	1	
13858	2	11510	11502	3.5	291.1	-1	-1	100	0	0	1	
13859	2	11603	11599	3.5	249.8	-1	-1	100	0	0	1	
15058	3	11540	11538	11529	3.5	938.3	-1	-1	100	0	0	1
15059	3	11631	11623	11614	3.5	425.3	-1	-1	100	0	0	1
15654	2	10956	10954	3.5	382.7	-1	-1	100	0	0	1	
15655	3	11159	11156	11142	3.5	120.3	-1	-1	100	0	0	1
15946	1	10546	3.5	77.1	-1	-1	100	0	0	1
